"Name";"Brithday";"Place";"Carier "
"Патриша Кларксон";"29 декабря,1959";"Новый Орлеан,Луизиана,США";"Актриса, Продюсер"
"Джеки Эрл Хейли";"14 июля,1961";"Нортридж,Калифорния,США";"Актер, Режиссер, Сценарист"
"Тед Левайн";"29 мая,1957";"Беллэйр, Огайо, США";"Актер"
"Джон Кэрролл Линч";"1 августа, 1963";"Болдер, Колорадо, США";"Актер, Режиссер, Монтажер"
"Джона Хилл";"20 декабря,1983";"Лос-Анджелес,Калифорния,США";"Актер, Продюсер, Сценарист, Режиссер"
"Марго Робби";"2 июля, 1990";"Дэлби, Квинсленд, Австралия";"Актриса, Продюсер"
"Кайл Чандлер";"17 сентября,1965";"Баффало,Нью-Йорк,США";"Актер, Режиссер, Продюсер"
"Роб Райнер";"6 марта,1947";"Бронкс,Нью-Йорк,США";"Актер, Режиссер, Продюсер, Сценарист, Композитор"
"П.Дж. Бирн";"15 декабря, 1974";"Манасквен,Нью-Джерси,США";"Актер, Режиссер, Сценарист"
"Джон Бернтал";"20 сентября,1976";"Вашингтон,округ Колумбия,США";"Актер"
"Кристин Милиоти";"16 августа, 1985";"Черри-Хилл,Нью-Джерси,США";"Актриса, Продюсер, СценаристАктер, Сценарист, Продюсер, Режиссер"
"Жан Дюжарден";"19 июня,1972";"Париж,Франция";"Актер, Сценарист, Продюсер, Режиссер"
"Мэттью Макконахи";"4 ноября, 1969";"Увалд,Техас,США";"Актер, Продюсер, Режиссер, Сценарист"
"Джессика Честейн";"24 марта,1977";"Сакраменто,Калифорния,США";"Актриса, Продюсер"
"Майкл Пенья";"13 января, 1976";"Чикаго, Иллинойс, США";"Актер, Продюсер"
"Шон Бин";"17 апреля, 1959";"Шеффилд, Йоркшир, Англия, Великобритания";"Актер, Продюсер"
"Себастиан Стэн";"13 августа, 1982";"Констанца,Румыния";"Актер, Продюсер"
"Джон Траволта";"18 февраля, 1954";"Нью-Джерси, США";"Актер, Продюсер, Сценарист"
"Сэмюэл Л. Джексон";"21 декабря,1948";"Вашингтон,округ Колумбия,США";"Актер, Продюсер"
"Ума Турман";"29 апреля, 1970";"Бостон,Массачусетс,США";"Актриса, Продюсер, Сценарист"
"Джейсон Стэйтем";"26 июля,1967";"Ширбрук,Дербишир,Англия,Великобритания";"Актер, Продюсер"
"Стивен Грэм";"3 августа,1973";"Киркби,Мерсисайд,Англия,Великобритания";"Актер, Продюсер, Сценарист"
"Брэд Питт";"18 декабря,1963";"Шоуни,Оклахома,США";"Актер, Продюсер"
"Алан Форд";"23 февраля,1938";"Лондон,Англия,Великобритания";"Актер"
"Кристиан Бейл";"30 января, 1974";"Хаверфордвест,Пембрукшир,Уэльс,Великобритания";"Актер, Продюсер"
"Хит Леджер";"4 апреля,1979";"Перт,Австралия";"Актер, Режиссер, Монтажер"
"Гэри Олдмен";"21 марта,1958";"Лондон,Англия,Великобритания";"Актер, Продюсер, Режиссер, Сценарист, Оператор"
"Аарон Экхарт";"12 марта, 1968";"Купертино,Калифорния,США";"Актер, Продюсер"
"Джордж Клуни";"6 мая, 1961";"Лексингтон,Кентукки,США";"Актер, Продюсер, Режиссер, Сценарист"
"Брэд Питт";"18 декабря, 1963";"Шоуни, Оклахома, США";"Актер, Продюсер"
"Энди Гарсиа";"12 апреля,1956";"Гавана,Куба";"Актер, Продюсер, Режиссер, Сценарист, Композитор"
"Джулия Робертс";"28 октября, 1967";"Смирна,Джорджия,США";"Актриса, Продюсер"
"Берни Мак";"5 октября, 1957";"Чикаго,Иллинойс,США";"Актер, Сценарист, Продюсер"
"Эллиотт Гулд";"29 августа, 1938";"Бруклин,Нью-Йорк,США";"Актер, Продюсер"
"Джонни Депп";"9 июня,1963";"Оуэнсборо,Кентукки,США";"Актер, Продюсер, Режиссер, Сценарист"
"Бенисио Дель Торо";"19 февраля,1967";"Сантурсе,Пуэрто-Рико";"Актер, Продюсер, Режиссер, Сценарист"
"Тоби Магуайр";"27 июня,1975";"Санта-Моника,Калифорния,США";"Актер, Продюсер"
"Кристина Риччи";"12 февраля, 1980";"Санта-Моника,Калифорния,США";"Актриса, Продюсер"
"Джеймс Гандольфини";"18 сентября, 1961";"Вествуд, Нью-Джерси, США";"Актер, Продюсер"
"Иди Фалько";"5 июля,1963";"Нью-Йорк,США";"Актриса, Продюсер"
"Лоррен Бракко";"2 октября,1954";"Бэй Ридж,Бруклин,Нью-Йорк,США";"Актриса, Режиссер, Продюсер"
"Майкл Империоли";"26 марта, 1966";"Маунт-Вернон,Нью-Йорк,США";"Актер, Сценарист, Продюсер, Режиссер"
"Дженнифер Гарнер";"17 апреля, 1972";"Хьюстон, Техас, США";"Актриса, Продюсер, Режиссер"
"Джаред Лето";"26 декабря, 1971";"Боссьер Сити, Луизиана, США";"Актер, Продюсер, Режиссер, Композитор, Монтажер, Оператор"
